TSE,MUNICIPIO,UF,BAIRRO/LOCALIDADE,ÍNDICE DE VIRA VOTO,VALIDOS,Lula,Bolsonaro,Tebet,Ciro,"NEM LULA, NEM BOLSONARO",ANTI-BOLSONARO
11592,PICOS,PI,ZONA RURAL,0.824,14492,0.798,0.159,0.01,0.026,0.043,0.841
11592,PICOS,PI,CENTRO,0.765,5479,0.621,0.312,0.019,0.04,0.066,0.687
11592,PICOS,PI,PASSAGEM DAS PEDRAS,0.759,979,0.694,0.223,0.026,0.054,0.084,0.778
11592,PICOS,PI,BOMBA,0.73,2953,0.648,0.29,0.015,0.039,0.062,0.71
11592,PICOS,PI,AEROLÂNDIA,0.708,1157,0.631,0.291,0.016,0.046,0.078,0.709
11592,PICOS,PI,DNER,0.704,714,0.765,0.175,0.011,0.034,0.06,0.825
11592,PICOS,PI,SAO JOSE,0.689,1796,0.679,0.265,0.018,0.034,0.056,0.735
11592,PICOS,PI,MORRO DA AABB,0.686,295,0.783,0.153,0.014,0.051,0.065,0.848
11592,PICOS,PI,PARQUE DE EXPOSICAO,0.684,2130,0.725,0.229,0.011,0.03,0.044,0.769
11592,PICOS,PI,IPUEIRAS,0.678,1084,0.637,0.293,0.015,0.047,0.07,0.707
11592,PICOS,PI,CIDADE DE DEUS,0.677,144,0.833,0.104,0.014,0.035,0.063,0.896
11592,PICOS,PI,MORADA DO SOL,0.663,1127,0.752,0.204,0.011,0.025,0.045,0.797
11592,PICOS,PI,PARAIBINHA,0.657,1547,0.661,0.285,0.014,0.032,0.054,0.715
11592,PICOS,PI,BOA SORTE,0.648,571,0.662,0.27,0.014,0.047,0.068,0.73
11592,PICOS,PI,PAROQUIAL,0.643,798,0.793,0.169,0.01,0.026,0.037,0.83
11592,PICOS,PI,BOA VISTA,0.641,790,0.746,0.208,0.019,0.023,0.047,0.793
11592,PICOS,PI,CANTO DA VARZEA,0.628,1492,0.617,0.327,0.018,0.03,0.055,0.672
11592,PICOS,PI,JUNCO,0.624,1395,0.635,0.311,0.016,0.027,0.053,0.688
11592,PICOS,PI,PEDRINHAS,0.624,1377,0.702,0.257,0.007,0.03,0.041,0.743
11592,PICOS,PI,MATADOURO,0.623,432,0.759,0.192,0.009,0.028,0.049,0.808
11592,PICOS,PI,MORRO DA MACAMBIRA,0.622,498,0.821,0.147,0.006,0.024,0.032,0.853
11592,PICOS,PI,CATAVENTO,0.609,356,0.59,0.331,0.014,0.053,0.079,0.669
11592,PICOS,PI,NÃO ESPECIFICADO,0.595,80,0.95,0.025,0.025,0.0,0.025,0.975
11592,PICOS,PI,BELO NORTE,0.581,673,0.691,0.264,0.009,0.034,0.044,0.735
11592,PICOS,PI,PANTANAL,0.579,739,0.667,0.287,0.008,0.035,0.046,0.713
11592,PICOS,PI,morada nova,0.549,116,0.784,0.172,0.009,0.026,0.044,0.828
11592,PICOS,PI,CONDURU,0.521,398,0.558,0.382,0.013,0.048,0.061,0.619
