TSE,MUNICIPIO,UF,BAIRRO/LOCALIDADE,ÍNDICE DE VIRA VOTO,VALIDOS,Lula,Bolsonaro,Tebet,Ciro,"NEM LULA, NEM BOLSONARO",ANTI-LULA
69299,PRESIDENTE PRUDENTE,SP,CONJ. HAB. JD. HUMBERTO SALVADOR,0.591,4059,0.405,0.52,0.046,0.018,0.074,0.479
69299,PRESIDENTE PRUDENTE,SP,BRASIL NOVO,0.588,3982,0.393,0.53,0.047,0.021,0.077,0.47
69299,PRESIDENTE PRUDENTE,SP,PARQUE CASTELO BRANCO,0.581,2282,0.415,0.504,0.05,0.022,0.08,0.495
69299,PRESIDENTE PRUDENTE,SP,JARDIM GUANABARA,0.57,1670,0.419,0.499,0.049,0.027,0.083,0.502
69299,PRESIDENTE PRUDENTE,SP,JD. MORADA DO SOL,0.563,1051,0.51,0.423,0.03,0.018,0.066,0.576
69299,PRESIDENTE PRUDENTE,SP,CONJ. HAB. ANA JACINTA,0.554,5691,0.306,0.605,0.052,0.025,0.088,0.394
69299,PRESIDENTE PRUDENTE,SP,VL. PAULO ROBERTO,0.541,2486,0.36,0.555,0.048,0.026,0.084,0.444
69299,PRESIDENTE PRUDENTE,SP,JARDIM SANTA MARTA,0.535,3000,0.365,0.558,0.049,0.019,0.076,0.441
69299,PRESIDENTE PRUDENTE,SP,PARQUE SAO JUDAS TADEU,0.533,5225,0.272,0.637,0.056,0.024,0.091,0.363
69299,PRESIDENTE PRUDENTE,SP,JD. DAS ROSAS,0.53,1840,0.369,0.546,0.046,0.026,0.085,0.454
69299,PRESIDENTE PRUDENTE,SP,PARQUE FURQUIM,0.524,4410,0.295,0.62,0.053,0.022,0.085,0.38
69299,PRESIDENTE PRUDENTE,SP,JD. PLANALTO,0.52,1933,0.364,0.555,0.047,0.024,0.082,0.446
69299,PRESIDENTE PRUDENTE,SP,JD. VILA REAL,0.52,6079,0.27,0.644,0.054,0.024,0.085,0.355
69299,PRESIDENTE PRUDENTE,SP,VILA MENDES,0.509,2485,0.362,0.563,0.049,0.019,0.074,0.436
69299,PRESIDENTE PRUDENTE,SP,JARDIM PAULISTA,0.509,3719,0.268,0.641,0.057,0.026,0.09,0.358
69299,PRESIDENTE PRUDENTE,SP,RESIDENCIAL CREMONEZI,0.503,1190,0.482,0.462,0.037,0.013,0.056,0.538
69299,PRESIDENTE PRUDENTE,SP,JD. ELDORADO,0.497,1829,0.284,0.612,0.06,0.032,0.104,0.388
69299,PRESIDENTE PRUDENTE,SP,JARDIM ESPLANADA,0.494,4614,0.2,0.707,0.05,0.028,0.092,0.292
69299,PRESIDENTE PRUDENTE,SP,JD. SÃO GABRIEL,0.489,1483,0.313,0.591,0.055,0.032,0.096,0.409
69299,PRESIDENTE PRUDENTE,SP,VILA MARISTELA,0.489,1650,0.317,0.592,0.054,0.024,0.091,0.408
69299,PRESIDENTE PRUDENTE,SP,ENEIDA,0.488,476,0.445,0.479,0.065,0.011,0.076,0.521
69299,PRESIDENTE PRUDENTE,SP,PQ. SHIRAIWA,0.484,2081,0.298,0.611,0.055,0.023,0.089,0.387
69299,PRESIDENTE PRUDENTE,SP,JARDIM BELO HORIZONTE,0.482,3512,0.305,0.621,0.04,0.021,0.074,0.379
69299,PRESIDENTE PRUDENTE,SP,PQ RESID. MEDITERRÂNEO,0.479,2224,0.275,0.634,0.054,0.026,0.092,0.367
69299,PRESIDENTE PRUDENTE,SP,PARQUE RESIDENCIAL CARANDA,0.479,3414,0.257,0.659,0.051,0.024,0.084,0.341
69299,PRESIDENTE PRUDENTE,SP,COHAB,0.478,3226,0.285,0.638,0.04,0.027,0.079,0.364
69299,PRESIDENTE PRUDENTE,SP,RESIDENCIAL MARE MANSA,0.475,2423,0.273,0.639,0.049,0.03,0.088,0.361
69299,PRESIDENTE PRUDENTE,SP,VL. TABAJARA,0.472,2420,0.238,0.665,0.059,0.026,0.095,0.333
69299,PRESIDENTE PRUDENTE,SP,VILA FURQUIM,0.47,2153,0.292,0.623,0.049,0.026,0.085,0.377
69299,PRESIDENTE PRUDENTE,SP,JD. MONTE ALTO,0.47,1725,0.288,0.621,0.059,0.021,0.092,0.38
69299,PRESIDENTE PRUDENTE,SP,PARQUE CEDRAL,0.47,2199,0.282,0.631,0.055,0.022,0.087,0.369
69299,PRESIDENTE PRUDENTE,SP,JD SANTA ELIZA,0.466,1298,0.258,0.633,0.072,0.023,0.111,0.369
69299,PRESIDENTE PRUDENTE,SP,VILA SANTA IZABEL,0.465,2855,0.238,0.676,0.053,0.023,0.087,0.325
69299,PRESIDENTE PRUDENTE,SP,VILA DUBUS,0.463,1764,0.196,0.691,0.069,0.029,0.114,0.31
69299,PRESIDENTE PRUDENTE,SP,BOSQUE,0.46,2324,0.214,0.689,0.057,0.025,0.096,0.31
69299,PRESIDENTE PRUDENTE,SP,CENTRO,0.458,4383,0.232,0.691,0.043,0.025,0.076,0.308
69299,PRESIDENTE PRUDENTE,SP,VL. LIBERDADE,0.457,2490,0.245,0.669,0.047,0.03,0.087,0.332
69299,PRESIDENTE PRUDENTE,SP,CECAP,0.452,2247,0.271,0.646,0.045,0.026,0.083,0.354
69299,PRESIDENTE PRUDENTE,SP,VL. ROBERTO,0.447,3793,0.256,0.672,0.04,0.021,0.072,0.328
69299,PRESIDENTE PRUDENTE,SP,VILA LUSO,0.442,1896,0.31,0.616,0.042,0.022,0.075,0.385
69299,PRESIDENTE PRUDENTE,SP,PARQUE SAO MATHEUS,0.441,1617,0.258,0.652,0.051,0.023,0.091,0.349
69299,PRESIDENTE PRUDENTE,SP,CENTRAL PARK RES.,0.441,2079,0.18,0.722,0.056,0.026,0.096,0.276
69299,PRESIDENTE PRUDENTE,SP,VL. ARISTARCHO,0.439,1892,0.328,0.603,0.045,0.02,0.07,0.398
69299,PRESIDENTE PRUDENTE,SP,JD. SANTANA,0.432,1918,0.349,0.588,0.037,0.019,0.063,0.412
69299,PRESIDENTE PRUDENTE,SP,JD. BONGIOVANI,0.431,2755,0.212,0.708,0.048,0.026,0.08,0.292
69299,PRESIDENTE PRUDENTE,SP,MONTALVÃO,0.428,1712,0.324,0.606,0.043,0.015,0.07,0.394
69299,PRESIDENTE PRUDENTE,SP,VL. FORMOSA,0.425,1357,0.256,0.654,0.055,0.024,0.09,0.346
69299,PRESIDENTE PRUDENTE,SP,VL. CLÁUDIA GLÓRIA,0.424,1602,0.291,0.632,0.041,0.026,0.078,0.369
69299,PRESIDENTE PRUDENTE,SP,VILA CHARLOTE,0.409,870,0.257,0.646,0.055,0.03,0.096,0.353
69299,PRESIDENTE PRUDENTE,SP,JARDIM REGINA,0.408,1388,0.297,0.628,0.043,0.021,0.075,0.372
69299,PRESIDENTE PRUDENTE,SP,FLORESTA DO SUL,0.394,934,0.383,0.558,0.035,0.014,0.058,0.441
69299,PRESIDENTE PRUDENTE,SP,VILA INDUSTRIAL,0.357,1683,0.217,0.714,0.042,0.018,0.069,0.286
69299,PRESIDENTE PRUDENTE,SP,AMAMBAÍ,0.325,326,0.35,0.586,0.04,0.025,0.065,0.415
